iter	Passed	Remaining
0	115	114887
1	116	58081
2	117	39055
3	119	29639
4	120	23998
5	121	20189
6	125	17827
7	126	15727
8	127	14086
9	129	12771
10	129	11686
11	130	10772
12	131	9996
13	132	9334
14	134	8821
15	136	8401
16	137	7941
17	138	7530
18	139	7196
19	140	6890
20	141	6602
21	142	6329
22	143	6076
23	143	5844
24	144	5630
25	145	5434
26	145	5250
27	146	5078
28	146	4920
29	147	4772
30	148	4634
31	148	4502
32	149	4379
33	150	4261
34	150	4150
35	151	4045
36	151	3946
37	152	3852
38	153	3778
39	154	3696
40	154	3624
41	155	3556
42	156	3488
43	157	3417
44	157	3351
45	158	3286
46	159	3224
47	159	3165
48	160	3110
49	160	3056
50	161	3004
51	162	2955
52	162	2906
53	163	2858
54	163	2811
55	164	2770
56	164	2729
57	165	2690
58	166	2660
59	169	2657
60	171	2635
61	172	2602
62	172	2568
63	173	2533
64	173	2500
65	174	2466
66	174	2434
67	175	2403
68	175	2373
69	176	2344
70	176	2315
71	177	2287
72	178	2261
73	178	2234
74	179	2210
75	179	2187
76	180	2168
77	185	2197
78	186	2175
79	187	2152
80	187	2130
81	188	2108
82	188	2086
83	189	2065
84	189	2045
85	190	2025
86	191	2006
87	191	1988
88	192	1970
89	193	1951
90	193	1933
91	194	1916
92	194	1899
93	195	1884
94	196	1873
95	199	1874
96	199	1860
97	200	1844
98	201	1829
99	201	1817
100	202	1802
101	202	1787
102	203	1772
103	204	1757
104	204	1744
105	205	1730
106	205	1717
107	206	1703
108	206	1691
109	207	1680
110	208	1668
111	209	1657
112	209	1645
113	210	1637
114	214	1648
115	215	1638
116	215	1626
117	216	1614
118	216	1603
119	217	1591
120	217	1580
121	218	1569
122	218	1558
123	219	1548
124	220	1540
125	220	1530
126	221	1521
127	222	1514
128	224	1515
129	226	1515
130	231	1536
131	233	1537
132	234	1531
133	235	1523
134	236	1516
135	237	1508
136	239	1507
137	243	1520
138	245	1521
139	246	1516
140	247	1510
141	248	1501
142	249	1493
143	250	1486
144	250	1479
145	252	1475
146	253	1470
147	256	1474
148	257	1471
149	258	1465
150	259	1458
151	261	1459
152	263	1456
153	264	1451
154	265	1445
155	266	1440
156	267	1435
157	273	1457
158	275	1454
159	275	1448
160	276	1440
161	277	1434
162	278	1428
163	279	1422
164	279	1416
165	280	1410
166	282	1407
167	283	1402
168	285	1402
169	286	1400
170	287	1393
171	287	1385
172	288	1379
173	289	1372
174	289	1365
175	290	1358
176	290	1352
177	291	1347
178	292	1342
179	293	1336
180	293	1329
181	294	1323
182	295	1319
183	296	1313
184	297	1309
185	299	1311
186	300	1305
187	301	1300
188	301	1294
189	302	1288
190	302	1282
191	303	1276
192	303	1270
193	304	1264
194	313	1292
195	316	1299
